                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    125,                0.94067,                0.47028,                0.84588,                0.96969,                0.96014,                 0.9713,                0.54265,                 1.5338,                0.59303,                0.95998,              0.0001882,              0.0001882,              0.0001882
                    126,                0.94337,                0.47992,                0.83695,                 0.9649,                0.95145,                0.96369,                0.53965,                 1.5523,                0.59206,                0.96362,              0.0001816,              0.0001816,              0.0001816
                    127,                0.95216,                 0.4697,                0.84305,                 0.9687,                0.94808,                0.96825,                0.55313,                  1.544,                0.59078,                0.96386,               0.000175,               0.000175,               0.000175
                    128,                0.91775,                 0.4614,                0.84068,                0.97372,                0.95072,                 0.9701,                 0.5513,                 1.5323,                0.58519,                0.96101,              0.0001684,              0.0001684,              0.0001684
                    129,                0.91254,                0.46359,                0.83958,                 0.9682,                0.95298,                0.97219,                 0.5555,                 1.5389,                0.58747,                 0.9623,              0.0001618,              0.0001618,              0.0001618
                    130,                 0.9273,                 0.4658,                0.84081,                0.97065,                0.95507,                0.97647,                0.55552,                 1.5286,                0.59035,                0.96205,              0.0001552,              0.0001552,              0.0001552
                    131,                0.90287,                0.46329,                0.83833,                0.96872,                0.95671,                0.97504,                0.56274,                 1.5225,                 0.5937,                0.96055,              0.0001486,              0.0001486,              0.0001486
                    132,                0.91498,                0.46654,                0.83875,                0.97846,                0.95712,                0.97595,                0.55378,                 1.5384,                 0.5911,                0.96576,               0.000142,               0.000142,               0.000142
                    133,                0.90758,                 0.4589,                0.83735,                0.98095,                 0.9571,                0.97457,                0.54769,                 1.5589,                0.59556,                 0.9679,              0.0001354,              0.0001354,              0.0001354
                    134,                0.93245,                0.47163,                0.83895,                0.97374,                0.95412,                0.97077,                0.54692,                 1.5454,                0.59676,                0.96477,              0.0001288,              0.0001288,              0.0001288
                    135,                0.88388,                0.45542,                0.82535,                0.97495,                0.94579,                0.97157,                0.54882,                 1.5347,                0.58925,                0.96571,              0.0001222,              0.0001222,              0.0001222
                    136,                0.90747,                0.45898,                0.83503,                0.97428,                0.95081,                  0.974,                0.55434,                 1.5486,                0.59067,                0.96703,              0.0001156,              0.0001156,              0.0001156
                    137,                 0.8794,                0.45569,                0.83199,                0.97063,                0.95447,                0.97136,                0.55084,                 1.5384,                0.59102,                0.96488,               0.000109,               0.000109,               0.000109
                    138,                0.89567,                0.45017,                0.83516,                0.96311,                0.95168,                0.96712,                0.55271,                 1.5444,                0.59085,                 0.9676,              0.0001024,              0.0001024,              0.0001024
                    139,                0.88518,                0.45252,                0.82916,                0.97086,                0.95737,                0.97173,                0.55792,                 1.5348,                0.58607,                0.96376,               9.58e-05,               9.58e-05,               9.58e-05
                    140,                0.87302,                0.44783,                0.83245,                0.97094,                0.95802,                0.97226,                0.55818,                  1.537,                0.58611,                0.96365,               8.92e-05,               8.92e-05,               8.92e-05
                    141,                0.87469,                0.43644,                0.85096,                0.97049,                0.95814,                0.97129,                0.55428,                 1.5205,                0.58772,                0.96217,               8.26e-05,               8.26e-05,               8.26e-05
                    142,                0.86106,                0.42778,                0.84626,                0.96646,                0.96135,                0.96908,                0.55521,                 1.5184,                0.58928,                0.96373,                7.6e-05,                7.6e-05,                7.6e-05
                    143,                0.83479,                0.41503,                0.84408,                0.96684,                0.95775,                0.96863,                0.55448,                 1.5312,                0.59518,                0.96777,               6.94e-05,               6.94e-05,               6.94e-05
                    144,                0.82849,                0.42047,                0.83867,                0.96811,                0.95749,                0.97061,                0.55268,                 1.5332,                0.58925,                0.96638,               6.28e-05,               6.28e-05,               6.28e-05
                    145,                0.83547,                0.42397,                0.83398,                0.97052,                0.95831,                0.97151,                0.55482,                 1.5272,                0.58911,                0.96758,               5.62e-05,               5.62e-05,               5.62e-05
                    146,                0.82093,                 0.4165,                 0.8424,                0.97174,                0.95178,                0.97153,                0.55473,                 1.5296,                 0.5883,                 0.9679,               4.96e-05,               4.96e-05,               4.96e-05
                    147,                0.82407,                0.41577,                0.84495,                0.97321,                 0.9492,                 0.9704,                 0.5552,                 1.5271,                0.58329,                0.96687,                4.3e-05,                4.3e-05,                4.3e-05
                    148,                0.82204,                0.41461,                0.83558,                0.96442,                0.96181,                0.97129,                0.55578,                  1.531,                0.58519,                0.96568,               3.64e-05,               3.64e-05,               3.64e-05
                    149,                0.82133,                0.41225,                0.83833,                0.96424,                0.95936,                0.97168,                0.55678,                 1.5321,                0.58331,                0.96541,               2.98e-05,               2.98e-05,               2.98e-05
                    150,                0.81411,                0.41116,                0.83375,                0.96266,                0.95684,                0.97143,                0.55707,                 1.5354,                0.58219,                0.96803,               2.32e-05,               2.32e-05,               2.32e-05
